root,x,y,z,length,forms,notes
جرم,6,11,25,3,5,"['1', '2', '4', '5', '8']"
جرن,6,11,26,3,3,"['1', '4', '8']"
جرو,6,11,28,3,1,['4']
جرى,6,11,29,3,6,"['1', '2', '3', '4', '6', '10']"
جز,6,12,0,2,5,"['1', '2', '4', '8', '10']"
جزآ,6,12,1,3,5,"['1', '2', '4', '5', '8']"
جزر,6,12,11,3,6,"['1', '4', '5', '6', '7', '8']"
جزع,6,12,19,3,6,"['1', '2', '4', '5', '7', '8']"
جزف,6,12,21,3,4,"['1', '3', '5', '8']"
جزل,6,12,24,3,3,"['1', '4', '10']"
جزم,6,12,25,3,6,"['1', '2', '4', '5', '7', '8']"
جزى,6,12,29,3,5,"['1', '3', '4', '6', '8']"
جس,6,13,0,2,3,"['1', '5', '8']"
جسآ,6,13,1,3,1,['1']
جسد,6,13,9,3,3,"['1', '4', '5']"
جسر,6,13,11,3,5,"['1', '2', '4', '6', '8']"
جسم,6,13,25,3,5,"['1', '2', '5', '1', '3']"
جش,6,14,0,2,2,"['1', '4']"
جشآ,6,14,1,3,4,"['1', '2', '5', '8']"
جشب,6,14,3,3,2,"['1', '12']"
جشر,6,14,11,3,2,"['1', '2']"
جشع,6,14,19,3,3,"['1', '5', '6']"
جشم,6,14,25,3,4,"['1', '2', '4', '5']"
جص,6,15,0,2,1,['2']
جظ,6,18,0,2,2,"['1', '4']"
جعب,6,19,3,3,6,"['1', '2', '5', '7', 'Q.Q.1', 'Q.Q.2']"
جعد,6,19,9,3,3,"['1', '2', '5']"
جعر,6,19,11,3,3,"['1', '5', '7']"
جعس,6,19,13,3,1,['Q.Q.1']
جعف,6,19,21,3,4,"['1', '4', '7', '8']"
جعفد,6,19,21,4,1,(1) ['Q.1']
جعل,6,19,24,3,6,"['1', '3', '4', '6', '8', '10']"
جف,6,21,0,2,5,"['1', '2', '5', '8', 'R.Q.2']"
جفآ,6,21,1,3,2,"['4', '8']"
جفر,6,21,11,3,7,"['1', '2', '4', '5', '7', '8', '10']"
جفل,6,21,24,3,5,"['1', '2', '4', '5', '7']"
جفن,6,21,26,3,3,"['1', '2', '5']"
جفو,6,21,28,3,7,"['1', '2', '3', '4', '6', '8', '10']"
جل,6,24,0,2,8,"['1', '2', '4', '5', '6', '8', 'R.Q.1', 'R.Q.2']"
جلب,6,24,3,3,10,"['1', '2', '3', '4', '5', '7', '8', '10', 'R.Q.1', 'R.Q.2']"
جلح,6,24,7,3,4,"['1', '2', '3', 'Q.Q.1']"
جلد,6,24,9,3,7,"['1', '2', '3', '4', '5', '6', '8']"
جلس,6,24,13,3,5,"['1', '3', '4', '6', '10']"
جلف,6,24,21,3,4,"['1', '2', '4', '8']"
جلم,6,24,25,3,2,"['1', '8']"
جله,6,24,27,3,1,['1']
جلو,6,24,28,3,9,"['1', '2', '3', '4', '5', '6', '7', '8', '12']"
جم,6,25,0,2,7,"['1', '2', '4', '5', '10', 'R.Q.1', 'R.Q.2']"
جمح,6,25,7,3,1,['1']
جمد,6,25,9,3,3,"['1', '2', '4']"
جمر,6,25,11,3,6,"['1', '2', '4', '5', '8', '10']"
جمز,6,25,12,3,2,"['1', '2']"
جمس,6,25,13,3,1,['1']
جمش,6,25,14,3,1,['1']
جمع,6,25,19,3,8,"['1', '2', '3', '4', '5', '7', '8', '10']"
جمل,6,25,24,3,7,"['1', '2', '3', '4', '5', '8', '10']"
جمهر,6,25,27,4,2,"['Q.1', 'Q.2']"
جن,6,26,0,2,7,"['1', '2', '4', '5', '6', '8', '10']"
جنآ,6,26,1,3,5,"['1', '3', '4', '6', '8']"
جنب,6,26,3,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
جنح,6,26,7,3,6,"['1', '2', '4', '5', '8', '10']"
جند,6,26,9,3,2,"['2', '5']"
جندل,6,26,9,4,1,(1) ['Q.1']
جنز,6,26,12,3,2,"['1', '2']"
جنس,6,26,13,3,3,"['2', '3', '6']"
جنف,6,26,21,3,3,"['1', '3', '4']"
جنق,6,26,22,3,3,"['1', '2', 'Q.Q.1']"
جنى,6,26,29,3,5,"['1', '3', '4', '5', '8']"
جهد,6,27,9,3,5,"['1', '3', '4', '6', '8']"
جهر,6,27,11,3,7,"['1', '3', '4', '6', '8', '10', 'Q.Q.1']"
جهش,6,27,14,3,2,"['1', '4']"
جهض,6,27,16,3,3,"['1', '3', '4']"
جهل,6,27,24,3,5,"['1', '2', '3', '6', '10']"
جهم,6,27,25,3,4,"['1', '4', '5', '8']"
جوآ,6,28,1,3,1,['1']
جوب,6,28,3,3,8,"['1', '2', '3', '4', '6', '7', '8', '10']"
جوح,6,28,7,3,3,"['1', '4', '8']"
جود,6,28,9,3,7,"['1', '2', '3', '4', '5', '6', '10']"
جور,6,28,11,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
جوز,6,28,12,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
جوس,6,28,13,3,2,"['1', '8']"
جوع,6,28,19,3,5,"['1', '2', '4', '5', '10']"
جوف,6,28,21,3,6,"['1', '2', '4', '5', '8', '10']"
جول,6,28,24,3,8,"['1', '2', '3', '4', '6', '7', '8', '10']"
جون,6,28,26,3,1,['1']
جوه,6,28,27,3,4,"['1', '2', '4', '5']"
جوى,6,28,29,3,2,"['1', '8']"
جى,6,29,0,2,1,['3']
جيآ,6,29,1,3,3,"['1', '3', '4']"
جيب,6,29,3,3,2,"['1', '2']"
جيح,6,29,7,3,1,['1']
جيد,6,29,9,3,1,['1']
جير,6,29,11,3,1,['2']
جيش,6,29,14,3,4,"['1', '2', '5', '10']"
جيف,6,29,21,3,5,"['1', '2', '5', '7', '8']"
جيم,6,29,25,3,1,['2']
حاج,7,2,6,3,5,"['1', '2', '4', '5', '8']"
حب,7,3,0,2,7,"['1', '2', '3', '4', '5', '6', '10']"
حبر,7,3,11,3,3,"['1', '2', '4']"
حبس,7,3,13,3,7,"['1', '2', '3', '4', '5', '7', '8']"
حبش,7,3,14,3,5,"['1', '2', '4', '5', '8']"
حبط,7,3,17,3,3,"['1', '4', 'Q.Q.3']"
حبق,7,3,22,3,1,['1']
حبك,7,3,23,3,4,"['1', '2', '5', '8']"
حبل,7,3,24,3,5,"['1', '2', '4', '5', '8']"
حبن,7,3,26,3,3,"['1', '4', '8']"
حبو,7,3,28,3,6,"['1', '2', '3', '4', '5', '8']"
حبى,7,3,29,3,1,['1']
حت,7,4,0,2,6,"['1', '4', '6', '7', 'R.Q.1', 'R.Q.2']"
حتد,7,4,9,3,2,"['1', '2']"
حتف,7,4,21,3,1,['1']
حتك,7,4,23,3,2,"['1', '5']"
حتم,7,4,25,3,4,"['1', '5', '7', 'Q.Q.4']"
حث,7,5,0,2,7,"['1', '2', '4', '6', '8', '10', 'R.Q.1']"
حثو,7,5,28,3,3,"['1', '4', '10']"
حج,7,6,0,2,7,"['1', '3', '4', '6', '8', 'R.Q.1', 'R.Q.2']"
حجآ,7,6,1,3,3,"['1', '5', '8']"
حجب,7,6,3,3,5,"['1', '2', '5', '8', '10']"
حجر,7,6,11,3,5,"['2', '5', '8', '10', 'Q.Q.1']"
حجز,7,6,12,3,7,"['1', '2', '3', '4', '6', '7', '8']"
حجف,7,6,21,3,1,['3']
حجل,7,6,24,3,4,"['1', '2', '4', 'Q.Q.1']"
حجم,7,6,25,3,4,"['1', '2', '4', '8']"
حجن,7,6,26,3,5,"['1', '2', '4', '5', '8']"
حجو,7,6,28,3,6,"['1', '3', '4', '5', '6', '8']"
حد,7,9,0,2,3,"['1', '3', '4']"
حد,7,9,0,2,9,"(1) ['1', '2', '3', '4', '5', '6', '7', '8', '10']"
حدب,7,9,3,3,8,"['1', '2', '4', '5', '6', '7', '9', '12']"
حدث,7,9,5,3,7,"['1', '2', '3', '4', '5', '6', '10']"
حدج,7,9,6,3,3,"['1', '2', '4']"
حدر,7,9,11,3,6,"['1', '2', '4', '5', '6', '7']"
حدس,7,9,13,3,2,"['1', '5']"
حدق,7,9,22,3,5,"['1', '2', '4', '12', 'Q.Q.1']"
حدم,7,9,25,3,4,"['1', '4', '5', '8']"
حدو,7,9,28,3,5,"['1', '4', '5', '6', '8']"
حذ,7,10,0,2,1,['1']
حذر,7,10,11,3,5,"['1', '2', '3', '8', '11']"
حذف,7,10,21,3,3,"['1', '2', '8']"
حذق,7,10,22,3,7,"['1', '2', '4', '5', '7', 'Q.Q.1', 'Q.Q.2']"
حذم,7,10,25,3,1,['1']
حذو,7,10,28,3,7,"['1', '3', '4', '5', '6', '8', '10']"
حذى,7,10,29,3,3,"['1', '4', '6']"
حر,7,11,0,2,4,"['2', '4', '5', '10']"
حرب,7,11,3,3,10,"['1', '2', '3', '4', '6', '8', '10', '1', '4', '8']"
حرج,7,11,6,3,4,"['1', '2', '4', '5']"
حرح,7,11,7,3,1,['1']
حرد,7,11,9,3,6,"['1', '2', '3', '4', '5', '7']"
حرز,7,11,12,3,6,"['1', '2', '4', '5', '8', '10']"
حرس,7,11,13,3,5,"['1', '3', '4', '5', '3']"
حرش,7,11,14,3,6,"['1', '2', '3', '4', '5', '8']"
حرص,7,11,15,3,5,"['1', '3', '4', '5', '8']"
حرض,7,11,16,3,4,"['1', '2', '3', '4']"
حرف,7,11,21,3,8,"['1', '2', '3', '4', '5', '7', '8', '12']"
حرق,7,11,22,3,6,"['1', '2', '3', '4', '5', '8']"
حرقف,7,11,22,4,1,(1) ['Q.1']
حرك,7,11,23,3,3,"['1', '2', '5']"
حرم,7,11,25,3,6,"['1', '2', '4', '5', '8', '10']"
حرن,7,11,26,3,1,['1']
حرى,7,11,29,3,3,"['1', '4', '5']"
حز,7,12,0,2,4,"['1', '2', '5', '8']"
حزب,7,12,3,3,4,"['1', '2', '3', '5']"
حزر,7,12,11,3,2,"['1', '2']"
حزق,7,12,22,3,4,"['1', '4', '5', '7']"
حزم,7,12,25,3,5,"['1', '4', '5', '8', '12']"
حزن,7,12,26,3,7,"['1', '2', '4', '5', '6', '8', '10']"
حزو,7,12,28,3,2,"['1', '5']"
حس,7,13,0,2,8,"['1', '2', '4', '5', '7', '8', 'R.Q.1', 'R.Q.2']"
حسب,7,13,3,3,7,"['1', '2', '3', '4', '5', '8', '9']"
حسد,7,13,9,3,4,"['1', '2', '4', '6']"
حسر,7,13,11,3,6,"['1', '2', '4', '5', '7', '10']"
حسك,7,13,23,3,3,"['1', '2', '4']"
حسل,7,13,24,3,1,['8']
حسم,7,13,25,3,2,"['1', '7']"
حسن,7,13,26,3,7,"['1', '2', '3', '4', '5', '6', '10']"
حسو,7,13,28,3,7,"['1', '2', '3', '4', '5', '6', '8']"
حسى,7,13,29,3,3,"['1', '4', '8']"
حش,7,14,0,2,4,"['1', '4', '8', '10']"
حشب,7,14,3,3,2,"['4', '8']"
حشد,7,14,9,3,5,"['1', '4', '5', '6', '8']"
حشر,7,14,11,3,2,"['1', '7']"
حشرج,7,14,11,4,1,(1) ['Q.1']
حشف,7,14,21,3,5,"['1', '2', '4', '5', '10']"
حشك,7,14,23,3,1,['1']
حشم,7,14,25,3,5,"['1', '2', '4', '5', '8']"
حشو,7,14,28,3,6,"['1', '3', '4', '5', '7', '8']"
حشى,7,14,29,3,5,"['1', '2', '3', '5', '6']"
حص,7,15,0,2,8,"['1', '2', '3', '4', '6', '7', 'R.Q.1', 'R.Q.2']"
حصب,7,15,3,3,4,"['1', '2', '4', '6']"
حصد,7,15,9,3,4,"['1', '4', '8', '10']"
حصر,7,15,11,3,5,"['1', '3', '4', '7', '8']"
حصرم,7,15,11,4,2,"(1) ['Q.1', 'Q.2']"
حصف,7,15,21,3,3,"['1', '4', '10']"
حصل,7,15,24,3,5,"['1', '2', '4', '5', 'Q.Q.1']"
حصن,7,15,26,3,4,"['1', '2', '4', '5']"
حصو,7,15,28,3,2,"['1', '4']"
حض,7,16,0,2,4,"['1', '2', '3', '6']"
حضآ,7,16,1,3,2,"['1', '8']"
حضر,7,16,11,3,6,"['1', '3', '4', '5', '8', '10']"
حضن,7,16,26,3,6,"['1', '2', '3', '4', '6', '8']"
حضو,7,16,28,3,1,['1']
حط,7,17,0,2,6,"['1', '2', '7', '8', '10', 'R.Q.1']"
حطآ,7,17,1,3,1,['1']
حطب,7,17,3,3,4,"['1', '4', '8', '10']"
حطم,7,17,25,3,4,"['1', '2', '5', '7']"
حظ,7,18,0,2,1,['4']
حظر,7,18,11,3,4,"['1', '2', '4', '8']"
حظل,7,18,24,3,2,"['1', '4']"
حظو,7,18,28,3,3,"['1', '4', '8']"
حف,7,21,0,2,6,"['1', '2', '4', '8', '10', 'R.Q.1']"
حفد,7,21,9,3,3,"['1', '4', '8']"
حفر,7,21,11,3,6,"['1', '3', '4', '5', '8', '10']"
حفز,7,21,12,3,3,"['1', '5', '8']"
حفظ,7,21,18,3,7,"['1', '2', '3', '4', '5', '8', '10']"
حفل,7,21,24,3,4,"['1', '2', '5', '8']"
حفن,7,21,26,3,2,"['1', '8']"
حفو,7,21,28,3,7,"['1', '3', '4', '5', '6', '8', '10']"
حق,7,22,0,2,10,"['1', '2', '3', '4', '5', '6', '7', '8', '10', 'R.Q.1']"
حقب,7,22,3,3,4,"['1', '4', '8', '10']"
حقد,7,22,9,3,5,"['1', '4', '5', '6', '8']"
حقر,7,22,11,3,5,"['1', '2', '6', '8', '10']"
حقف,7,22,21,3,2,"['1', '12']"
حقل,7,22,24,3,3,"['3', '4', 'Q.Q.1']"
حقن,7,22,26,3,4,"['1', '4', '5', '8']"
حقو,7,22,28,3,2,"['1', '5']"
حك,7,23,0,2,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
حكآ,7,23,1,3,3,"['1', '4', '8']"
حكر,7,23,11,3,5,"['1', '2', '3', '5', '8']"
حكل,7,23,24,3,3,"['1', '4', '8']"
حكم,7,23,25,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
حكو,7,23,28,3,1,['1']
حكى,7,23,29,3,4,"['1', '3', '4', '8']"
حل,7,24,0,2,9,"['1', '2', '3', '5', '7', '8', '10', 'R.Q.1', 'R.Q.2']"
حلآ,7,24,1,3,3,"['1', '2', '4']"
حلب,7,24,3,3,7,"['1', '3', '4', '5', '7', '8', '10']"
حلج,7,24,6,3,3,"['1', '5', '8']"
حلس,7,24,13,3,3,"['1', '4', '10']"
حلف,7,24,21,3,7,"['1', '2', '3', '4', '6', '8', '10']"
حلق,7,24,22,3,7,"['1', '2', '4', '5', '7', '8', 'Q.Q.1']"
حلقم,7,24,22,4,2,"(1) ['Q.1', 'Q.3']"
حلقن,7,24,22,4,1,(2) ['Q.1']
حلك,7,24,23,3,2,"['1', '12']"
حلم,7,24,25,3,7,"['1', '2', '4', '5', '6', '7', '8']"
حلو,7,24,28,3,9,"['1', '2', '3', '4', '5', '6', '8', '10', '12']"
حلى,7,24,29,3,3,"['1', '2', '5']"
حم,7,25,0,2,10,"['1', '2', '3', '4', '5', '8', '10', '12', 'R.Q.1', 'R.Q.2']"
حمآ,7,25,1,3,2,"['1', '4']"
حمد,7,25,9,3,7,"['1', '2', '4', '5', '6', '8', '10']"
حمدل,7,25,9,4,1,(1) ['Q.1']
حمر,7,25,11,3,8,"['1', '2', '4', '5', '7', '9', '11', 'Q.Q.2']"
حمز,7,25,12,3,1,['1']
حمس,7,25,13,3,3,"['1', '5', '6']"
حمش,7,25,14,3,2,"['1', '10']"
حمض,7,25,16,3,4,"['1', '2', '4', '5']"
حمق,7,25,22,3,8,"['1', '2', '3', '4', '5', '6', '7', '10']"
حمل,7,25,24,3,10,"['1', '2', '3', '4', '5', '6', '7', '8', '10', 'R.Q.1']"
حملق,7,25,24,4,1,(1) ['Q.1']
حمى,7,25,29,3,7,"['1', '3', '4', '5', '6', '8', '12']"
حن,7,26,0,2,7,"['1', '2', '4', '5', '6', '10', 'R.Q.1']"
حنآ,7,26,1,3,3,"['1', '2', '5']"
حنب,7,26,3,3,3,"['1', '2', '5']"
حنث,7,26,5,3,4,"['1', '2', '4', '5']"
حندس,7,26,9,4,2,"['Q.1', 'Q.2']"
حنذ,7,26,10,3,3,"['1', '4', '10']"
حنش,7,26,14,3,2,"['1', '4']"
حنط,7,26,17,3,5,"['1', '2', '4', '5', '10']"
حنظل,7,26,18,4,1,['Q.1']
حنف,7,26,21,3,3,"['1', '2', '5']"
حنق,7,26,22,3,3,"['1', '2', '4']"
حنك,7,26,23,3,6,"['1', '2', '4', '5', '8', '10']"
حنو,7,26,28,3,5,"['1', '2', '4', '5', '7']"
حهز,7,27,12,3,5,"['1', '2', '4', '5', '11']"
حو,7,28,0,2,4,"['1', '9', '11', '13']"
حوب,7,28,3,3,4,"['1', '2', '4', '5']"
حوت,7,28,4,3,2,"['1', '3']"
حود,7,28,9,3,2,"['1', '3']"
حوذ,7,28,10,3,1,['1']
حور,7,28,11,3,7,"['1', '2', '3', '4', '6', '9', '10']"
حوز,7,28,12,3,8,"['1', '2', '4', '5', '6', '7', '8', 'Q.Q.2']"
حوش,7,28,14,3,8,"['1', '2', '3', '4', '5', '6', '7', '8']"
حوص,7,28,15,3,4,"['1', '3', '6', '8']"
حوض,7,28,16,3,5,"['1', '2', '5', '8', '10']"
حوط,7,28,17,3,7,"['1', '2', '3', '4', '5', '8', '10']"
حوف,7,28,21,3,3,"['1', '2', '5']"
حوق,7,28,22,3,1,['1']
حوك,7,28,23,3,3,"['1', '5', '8']"
حول,7,28,24,3,9,"['1', '2', '3', '4', '5', '8', '9', '10', '11']"
حولق,7,28,24,4,1,(1) ['Q.Q.1']
حوم,7,28,25,3,2,"['1', '2']"
حوى,7,28,29,3,5,"['1', '2', '5', '6', '8']"
حى,7,29,0,2,7,"['1', '2', '3', '4', '5', '6', '10']"
حيج,7,29,6,3,2,"['1', '4']"
حيد,7,29,9,3,4,"['1', '2', '3', '4']"
حير,7,29,11,3,5,"['1', '2', '4', '5', '10']"
حيز,7,29,12,3,1,['1']
حيس,7,29,13,3,2,"['1', '2']"
حيص,7,29,15,3,4,"['1', '3', '6', '7']"
حيض,7,29,16,3,4,"['1', '2', '5', '10']"
حيط,7,29,17,3,1,['8']
حيعل,7,29,19,4,1,['Q.Q.1']
حيف,7,29,21,3,3,"['1', '2', '5']"
حيق,7,29,22,3,3,"['1', '3', '4']"
حيك,7,29,23,3,5,"['1', '4', '5', '6', '8']"
حيل,7,29,24,3,3,"['1', '4', '5']"
حين,7,29,26,3,6,"['1', '2', '3', '4', '5', '10']"
خب,8,3,0,2,7,"['1', '2', '3', '4', '8', 'R.Q.1', 'R.Q.2']"
خبآ,8,3,1,3,4,"['1', '2', '3', '8']"
خبث,8,3,5,3,2,"['1', '4']"
خبث,8,3,5,3,6,"(1) ['1', '2', '4', '5', '6', '10']"
خبر,8,3,11,3,7,"['1', '2', '3', '4', '5', '8', '10']"
خبز,8,3,12,3,3,"['1', '5', '8']"
خبص,8,3,15,3,5,"['1', '2', '5', '8', '10']"
خبط,8,3,17,3,5,"['1', '2', '5', '8', '10']"
خبل,8,3,24,3,5,"['1', '2', '4', '8', '10']"
خبن,8,3,26,3,3,"['1', '4', '8']"
خبو,8,3,28,3,2,"['1', '4']"
خبى,8,3,29,3,4,"['2', '4', '5', '10']"
ختر,8,4,11,3,3,"['1', '2', '5']"
ختعر,8,4,19,4,1,['Q.1']
ختل,8,4,24,3,4,"['1', '3', '6', '8']"
ختم,8,4,25,3,4,"['1', '2', '5', '8']"
ختن,8,4,26,3,3,"['1', '3', '8']"
خثر,8,5,11,3,4,"['1', '2', '4', '5']"
خثى,8,5,29,3,2,"['1', '4']"
خجل,8,6,24,3,3,"['1', '2', '4']"
خد,8,9,0,2,5,"['1', '2', '3', '5', '6']"
خدب,8,9,3,3,2,"['1', '5']"
خدج,8,9,6,3,3,"['1', '2', '4']"
خدر,8,9,11,3,6,"['1', '2', '3', '4', '5', '8']"
خدش,8,9,14,3,3,"['1', '2', '3']"
خدع,8,9,19,3,8,"['1', '2', '3', '4', '5', '6', '7', '8']"
خدل,8,9,24,3,1,['1']
خدم,8,9,25,3,5,"['1', '2', '4', '8', '10']"
خدن,8,9,26,3,1,['3']
خذرف,8,10,11,4,2,"['Q.1', 'Q.2']"
خذف,8,10,21,3,2,"['1', '6']"
خذل,8,10,24,3,5,"['1', '2', '4', '6', '7']"
خذم,8,10,25,3,5,"['1', '2', '4', '5', '8']"
خر,8,11,0,2,5,"['1', '4', '7', 'R.Q.1', 'R.Q.2']"
خرآ,8,11,1,3,1,['1']
خرب,8,11,3,3,6,"['1', '2', '4', '5', '10', 'Q.Q.1']"
خرت,8,11,4,3,1,['1']
خرج,8,11,6,3,10,"['1', '2', '3', '4', '5', '6', '8', '9', '10', '11']"
خرد,8,11,9,3,3,"['1', '4', '5']"
خرز,8,11,12,3,1,['1']
خرس,8,11,13,3,5,"['1', '2', '4', '5', '6']"
خرش,8,11,14,3,6,"['1', '2', '3', '5', '6', '8']"
خرص,8,11,15,3,3,"['1', '5', '8']"
خرط,8,11,17,3,4,"['1', '4', '7', '8']"
خرطم,8,11,17,4,2,"(1) ['Q.1', 'Q.3']"
خرع,8,11,19,3,4,"['1', '5', '7', '8']"
خرف,8,11,21,3,5,"['1', '2', '3', '4', '8']"
خرفج,8,11,21,4,1,(1) ['Q.1']
خرق,8,11,22,3,7,"['1', '2', '4', '5', '7', '8', '12']"
خرم,8,11,25,3,5,"['1', '2', '5', '7', '8']"
خزر,8,12,11,3,4,"['1', '2', '6', 'Q.Q.1']"
خزق,8,12,22,3,3,"['1', '7', '8']"
خزل,8,12,24,3,4,"['1', '5', '7', '8']"
خزم,8,12,25,3,5,"['1', '2', '3', '5', '6']"
خزن,8,12,26,3,4,"['1', '4', '8', '10']"
خزو,8,12,28,3,1,['1']
خزى,8,12,29,3,5,"['1', '3', '4', '9', '10']"
خس,8,13,0,2,4,"['1', '4', '6', '10']"
خسآ,8,13,1,3,4,"['1', '3', '6', '7']"
خسر,8,13,11,3,3,"['1', '2', '4']"
خسف,8,13,21,3,3,"['1', '4', '7']"
خسق,8,13,22,3,1,['1']
خسو,8,13,28,3,3,"['2', '3', '6']"
خسى,8,13,29,3,1,['6']
خش,8,14,0,2,6,"['1', '4', '7', '8', 'R.Q.1', 'R.Q.2']"
خشب,8,14,3,3,4,"['1', '5', '8', '12']"
خشر,8,14,11,3,1,['1']
خشع,8,14,19,3,4,"['1', '5', '6', '8']"
خشف,8,14,21,3,4,"['1', '2', '3', '7']"
خشم,8,14,25,3,4,"['1', '2', '4', '5']"
خشن,8,14,26,3,6,"['1', '2', '3', '5', '10', '12']"
خشو,8,14,28,3,1,['1']
خشى,8,14,29,3,4,"['1', '2', '3', '5']"
خص,8,15,0,2,6,"['1', '2', '4', '5', '8', '10']"
خصب,8,15,3,3,5,"['1', '2', '4', '8', '9']"
خصر,8,15,11,3,7,"['1', '2', '3', '4', '5', '6', '8']"
خصف,8,15,21,3,5,"['1', '2', '4', '5', '8']"
خصل,8,15,24,3,5,"['1', '2', '3', '4', '6']"
خصم,8,15,25,3,5,"['1', '3', '4', '6', '8']"
خصى,8,15,29,3,3,"['1', '4', '8']"
خض,8,16,0,2,2,"['R.Q.1', 'R.Q.2']"
خضب,8,16,3,3,6,"['1', '2', '4', '5', '8', '12']"
خضد,8,16,9,3,4,"['1', '2', '5', '7']"
خضر,8,16,11,3,7,"['1', '2', '3', '4', '8', '9', '12']"
خضرم,8,16,11,4,2,"(1) ['Q.1', 'Q.2']"
خضع,8,16,19,3,7,"['1', '2', '3', '4', '7', '8', '12']"
خضل,8,16,24,3,8,"['1', '2', '4', '8', '9', '11', '12', 'Q.Q.4']"
خضم,8,16,25,3,2,"['1', '8']"
خط,8,17,0,2,4,"['1', '2', '4', '8']"
خطآ,8,17,1,3,6,"['1', '2', '4', '5', '6', '10']"
خطب,8,17,3,3,6,"['1', '2', '3', '4', '6', '8']"
خطر,8,17,11,3,5,"['1', '2', '3', '4', '6']"
خطف,8,17,21,3,6,"['1', '2', '4', '5', '6', '8']"
خطل,8,17,24,3,3,"['1', '4', '5']"
خطم,8,17,25,3,3,"['1', '2', '8']"
خطو,8,17,28,3,5,"['1', '2', '4', '5', '8']"
خظو,8,18,28,3,2,"['1', '4']"
خظى,8,18,29,3,2,"['1', '4']"
خف,8,21,0,2,6,"['1', '2', '4', '5', '6', '10']"
خفت,8,21,4,3,5,"['1', '2', '3', '4', '6']"
خفر,8,21,11,3,5,"['1', '2', '4', '5', '10']"
خفش,8,21,14,3,1,['1']
خفض,8,21,16,3,6,"['1', '2', '3', '5', '7', '8']"
خفق,8,21,22,3,3,"['1', '4', '8']"
خفو,8,21,28,3,1,['1']
خفى,8,21,29,3,5,"['1', '4', '5', '8', '10']"
خل,8,24,0,2,9,"['1', '2', '3', '4', '5', '6', '8', 'R.Q.1', 'R.Q.2']"
خلآ,8,24,1,3,2,"['1', '3']"
خلب,8,24,3,3,4,"['1', '3', '8', '10']"
خلج,8,24,6,3,6,"['1', '3', '4', '5', '6', '8']"
خلد,8,24,9,3,3,"['1', '2', '4']"
خلس,8,24,13,3,6,"['1', '3', '4', '5', '6', '8']"
خلص,8,24,15,3,7,"['1', '2', '3', '4', '5', '6', '10']"
خلط,8,24,17,3,7,"['1', '2', '3', '4', '6', '8', '10']"
خلع,8,24,19,3,7,"['1', '2', '3', '5', '6', '7', '8']"
خلف,8,24,21,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
خلق,8,24,22,3,7,"['1', '2', '3', '4', '5', '8', '12']"
خلو,8,24,28,3,6,"['1', '2', '3', '4', '5', '10']"
خلى,8,24,29,3,7,"['1', '2', '3', '4', '7', '8', '12']"
خم,8,25,0,2,7,"['1', '4', '5', '8', '10', 'R.Q.1', 'R.Q.2']"
خمد,8,25,9,3,2,"['1', '4']"
خمر,8,25,11,3,7,"['1', '2', '3', '4', '5', '8', '10']"
خمس,8,25,13,3,3,"['1', '2', '4']"
خمش,8,25,14,3,2,"['1', '2']"
خمص,8,25,15,3,2,"['1', '6']"
خمع,8,25,19,3,1,['1']
خمل,8,25,24,3,3,"['1', '4', '8']"
خمن,8,25,26,3,2,"['1', '2']"
خن,8,26,0,2,3,"['1', '4', 'R.Q.1']"
خنث,8,26,5,3,5,"['1', '2', '5', '7', '8']"
خندق,8,26,9,4,1,['Q.1']
خنز,8,26,12,3,1,['1']
خنس,8,26,13,3,5,"['1', '4', '5', '7', '8']"
خنع,8,26,19,3,2,"['1', '4']"
خنق,8,26,22,3,4,"['1', '2', '7', '8']"
خنو,8,26,28,3,1,['1']
خنى,8,26,29,3,2,"['1', '4']"
خوب,8,28,3,3,1,['1']
خوت,8,28,4,3,5,"['1', '3', '5', '7', '8']"
خود,8,28,9,3,2,"['2', '5']"
خور,8,28,11,3,5,"['1', '2', '4', '6', '10']"
خوص,8,28,15,3,6,"['1', '2', '3', '4', '6', '11']"
خوض,8,28,16,3,7,"['1', '2', '3', '4', '5', '6', '8']"
خوف,8,28,21,3,5,"['1', '2', '3', '4', '5']"
خوق,8,28,22,3,5,"['1', '2', '4', '5', '7']"
خول,8,28,24,3,5,"['1', '2', '4', '5', '10']"
خوم,8,28,25,3,1,['4']
خون,8,28,26,3,4,"['1', '2', '5', '8']"
خوى,8,28,29,3,4,"['1', '2', '4', '8']"
خى,8,29,0,2,1,['2']
خيب,8,29,3,3,2,"['1', '2']"
خيت,8,29,4,3,1,['1']
خير,8,29,11,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
خيط,8,29,17,3,4,"['1', '2', '5', '8']"
خيف,8,29,21,3,5,"['1', '2', '4', '5', '8']"
خيل,8,29,24,3,8,"['1', '2', '3', '4', '5', '6', '8', '10']"
خيم,8,29,25,3,5,"['1', '2', '4', '5', '10']"
دآ,9,1,0,2,2,"['R.Q.1', 'R.Q.2']"
